id,employee_name,salary_rice_kg,allowance_value_idr
1,Eko Rahma,10,150000
2,Rini Utami,10,150000
3,Andi Mulyani,10,150000
4,Hadi Utami,15,225000
5,Sri Utami,10,150000
6,Sri Wijaya,30,450000
7,Andi Utami,20,300000
8,Rini Rahma,20,300000
9,Rini Mulyani,30,450000
10,Dewi Lestari,25,375000
11,Andi Santoso,15,225000
12,Andi Setiawan,25,375000
13,Budi Santoso,30,450000
14,Eko Santoso,30,450000
15,Mega Rahma,15,225000
16,Budi Mulyani,15,225000
17,Andi Utami,20,300000
18,Sri Santoso,20,300000
19,Sri Lestari,20,300000
20,Mega Mulyani,20,300000
21,Rini Setiawan,30,450000
22,Dewi Santoso,10,150000
23,Ahmad Santoso,10,150000
24,Siti Utami,15,225000
25,Eko Kusuma,10,150000
26,Hadi Mulyani,10,150000
27,Budi Kusuma,30,450000
28,Mega Setiawan,20,300000
29,Dewi Setiawan,20,300000
30,Eko Utami,30,450000
31,Ahmad Mulyani,30,450000
32,Siti Rahma,25,375000
33,Dewi Santoso,20,300000
34,Rini Wijaya,30,450000
35,Hadi Setiawan,15,225000
36,Sri Wijaya,15,225000
37,Budi Wijaya,15,225000
38,Mega Rahma,25,375000
39,Andi Dani,20,300000
40,Rini Utami,20,300000
41,Rini Mulyani,20,300000
42,Budi Rahma,15,225000
43,Andi Utami,10,150000
44,Dewi Lestari,25,375000
45,Mega Prasetyo,30,450000
46,Mega Wijaya,30,450000
47,Ahmad Lestari,10,150000
48,Hadi Wijaya,10,150000
49,Rini Dani,25,375000
50,Budi Utami,15,225000
51,Budi Prasetyo,30,450000
52,Andi Kusuma,15,225000
53,Sri Wijaya,10,150000
54,Budi Kusuma,20,300000
55,Sri Utami,30,450000
56,Sri Dani,30,450000
57,Eko Setiawan,20,300000
58,Ahmad Wijaya,20,300000
59,Hadi Setiawan,30,450000
60,Mega Dani,15,225000
61,Ahmad Utami,25,375000
62,Siti Utami,20,300000
63,Budi Prasetyo,25,375000
64,Ahmad Santoso,25,375000
65,Dewi Dani,30,450000
66,Hadi Mulyani,30,450000
67,Ahmad Santoso,25,375000
68,Andi Utami,10,150000
69,Eko Wijaya,25,375000
70,Mega Santoso,20,300000
71,Andi Mulyani,20,300000
72,Sri Wijaya,25,375000
73,Sri Santoso,20,300000
74,Mega Wijaya,30,450000
75,Ahmad Prasetyo,10,150000
76,Eko Rahma,20,300000
77,Eko Wijaya,20,300000
78,Sri Lestari,20,300000
79,Eko Wijaya,15,225000
80,Mega Kusuma,25,375000
81,Sri Lestari,20,300000
82,Dewi Mulyani,15,225000
83,Dewi Kusuma,20,300000
84,Ahmad Setiawan,10,150000
85,Siti Mulyani,20,300000
86,Budi Prasetyo,10,150000
87,Budi Mulyani,25,375000
88,Eko Dani,20,300000
89,Mega Setiawan,20,300000
90,Budi Dani,10,150000
91,Ahmad Setiawan,15,225000
92,Budi Wijaya,25,375000
93,Siti Prasetyo,15,225000
94,Hadi Dani,25,375000
95,Budi Setiawan,10,150000
96,Siti Wijaya,25,375000
97,Eko Wijaya,10,150000
98,Rini Prasetyo,10,150000
99,Budi Rahma,25,375000
100,Siti Kusuma,20,300000
101,Dewi Prasetyo,25,375000
102,Hadi Utami,25,375000
103,Rini Lestari,30,450000
104,Sri Prasetyo,15,225000
105,Siti Setiawan,30,450000
106,Rini Kusuma,25,375000
107,Ahmad Kusuma,30,450000
108,Mega Wijaya,30,450000
109,Andi Wijaya,15,225000
110,Eko Mulyani,30,450000
111,Sri Prasetyo,10,150000
112,Budi Rahma,15,225000
113,Ahmad Utami,15,225000
114,Andi Prasetyo,20,300000
115,Siti Wijaya,20,300000
116,Ahmad Mulyani,20,300000
117,Rini Kusuma,30,450000
118,Hadi Wijaya,15,225000
119,Siti Lestari,15,225000
120,Hadi Santoso,25,375000
121,Ahmad Dani,20,300000
122,Hadi Dani,20,300000
123,Andi Dani,30,450000
124,Rini Utami,15,225000
125,Sri Dani,25,375000
126,Eko Rahma,15,225000
127,Siti Setiawan,10,150000
128,Ahmad Wijaya,30,450000
129,Budi Prasetyo,25,375000
130,Sri Mulyani,20,300000
131,Sri Wijaya,15,225000
132,Budi Utami,10,150000
133,Ahmad Setiawan,30,450000
134,Sri Rahma,20,300000
135,Budi Mulyani,30,450000
136,Rini Dani,25,375000
137,Rini Kusuma,10,150000
138,Sri Setiawan,20,300000
139,Dewi Rahma,15,225000
140,Andi Kusuma,10,150000
141,Mega Rahma,20,300000
142,Hadi Setiawan,10,150000
143,Dewi Mulyani,10,150000
144,Budi Utami,15,225000
145,Ahmad Rahma,30,450000
146,Eko Rahma,15,225000
147,Siti Utami,20,300000
148,Andi Wijaya,30,450000
149,Eko Lestari,20,300000
150,Sri Setiawan,20,300000
151,Budi Utami,20,300000
152,Rini Kusuma,10,150000
153,Mega Mulyani,20,300000
154,Mega Dani,20,300000
155,Andi Dani,10,150000
156,Dewi Wijaya,30,450000
157,Rini Utami,25,375000
158,Dewi Utami,10,150000
159,Andi Dani,10,150000
160,Ahmad Wijaya,25,375000
161,Dewi Setiawan,15,225000
162,Eko Lestari,20,300000
163,Siti Dani,30,450000
164,Hadi Rahma,20,300000
165,Ahmad Kusuma,25,375000
166,Rini Kusuma,15,225000
167,Budi Utami,20,300000
168,Dewi Setiawan,20,300000
169,Dewi Setiawan,20,300000
170,Andi Mulyani,10,150000
171,Mega Santoso,20,300000
172,Dewi Utami,10,150000
173,Andi Prasetyo,15,225000
174,Ahmad Wijaya,20,300000
175,Budi Prasetyo,10,150000
176,Budi Lestari,25,375000
177,Sri Kusuma,20,300000
178,Dewi Santoso,15,225000
179,Sri Lestari,25,375000
180,Andi Utami,30,450000
181,Rini Prasetyo,25,375000
182,Hadi Setiawan,15,225000
183,Ahmad Wijaya,15,225000
184,Siti Wijaya,25,375000
185,Dewi Lestari,25,375000
186,Andi Mulyani,10,150000
187,Dewi Kusuma,15,225000
188,Hadi Wijaya,20,300000
189,Dewi Lestari,15,225000
190,Ahmad Prasetyo,15,225000
191,Rini Kusuma,10,150000
192,Dewi Prasetyo,15,225000
193,Ahmad Setiawan,15,225000
194,Siti Dani,15,225000
195,Rini Setiawan,20,300000
196,Eko Kusuma,25,375000
197,Siti Dani,15,225000
198,Andi Kusuma,20,300000
199,Eko Wijaya,25,375000
200,Siti Lestari,10,150000
201,Andi Dani,15,225000
202,Ahmad Mulyani,20,300000
203,Hadi Dani,30,450000
204,Rini Mulyani,10,150000
205,Rini Santoso,30,450000
206,Rini Santoso,20,300000
207,Mega Mulyani,25,375000
208,Siti Utami,20,300000
209,Sri Wijaya,30,450000
210,Eko Prasetyo,15,225000
211,Dewi Dani,20,300000
212,Rini Rahma,15,225000
213,Dewi Kusuma,30,450000
214,Budi Setiawan,20,300000
215,Mega Utami,10,150000
216,Budi Dani,15,225000
217,Dewi Rahma,20,300000
218,Sri Santoso,15,225000
219,Dewi Dani,10,150000
220,Dewi Lestari,20,300000
221,Andi Setiawan,30,450000
222,Eko Prasetyo,15,225000
223,Budi Santoso,10,150000
224,Siti Wijaya,25,375000
225,Rini Setiawan,25,375000
226,Eko Kusuma,30,450000
227,Rini Kusuma,15,225000
228,Sri Santoso,20,300000
229,Hadi Lestari,30,450000
230,Ahmad Prasetyo,30,450000
231,Dewi Wijaya,25,375000
232,Dewi Rahma,20,300000
233,Sri Prasetyo,30,450000
234,Eko Mulyani,15,225000
235,Rini Kusuma,25,375000
236,Eko Utami,25,375000
237,Budi Santoso,15,225000
238,Hadi Prasetyo,30,450000
239,Budi Setiawan,30,450000
240,Hadi Utami,20,300000
241,Eko Rahma,15,225000
242,Andi Utami,30,450000
243,Hadi Utami,30,450000
244,Rini Santoso,25,375000
245,Rini Dani,30,450000
246,Dewi Lestari,15,225000
247,Rini Mulyani,25,375000
248,Siti Lestari,25,375000
249,Sri Lestari,25,375000
250,Eko Mulyani,10,150000
251,Mega Setiawan,30,450000
252,Andi Wijaya,15,225000
253,Mega Prasetyo,20,300000
254,Andi Kusuma,25,375000
255,Ahmad Prasetyo,10,150000
256,Hadi Utami,15,225000
257,Mega Utami,20,300000
258,Siti Setiawan,25,375000
259,Ahmad Wijaya,10,150000
260,Mega Santoso,10,150000
261,Andi Utami,15,225000
262,Andi Lestari,15,225000
263,Eko Santoso,15,225000
264,Andi Kusuma,10,150000
265,Hadi Mulyani,10,150000
266,Andi Kusuma,15,225000
267,Mega Lestari,10,150000
268,Eko Utami,10,150000
269,Andi Dani,25,375000
270,Andi Prasetyo,20,300000
271,Siti Rahma,20,300000
272,Siti Wijaya,15,225000
273,Sri Rahma,20,300000
274,Siti Utami,20,300000
275,Mega Wijaya,10,150000
276,Rini Wijaya,15,225000
277,Eko Prasetyo,10,150000
278,Rini Kusuma,15,225000
279,Budi Rahma,20,300000
280,Ahmad Rahma,25,375000
281,Mega Dani,30,450000
282,Andi Mulyani,20,300000
283,Mega Wijaya,30,450000
284,Rini Utami,25,375000
285,Siti Utami,25,375000
286,Budi Utami,15,225000
287,Mega Wijaya,10,150000
288,Eko Dani,30,450000
289,Rini Utami,25,375000
290,Hadi Dani,20,300000
291,Dewi Dani,30,450000
292,Eko Setiawan,30,450000
293,Dewi Utami,25,375000
294,Mega Rahma,15,225000
295,Ahmad Mulyani,20,300000
296,Dewi Kusuma,20,300000
297,Eko Dani,25,375000
298,Andi Santoso,10,150000
299,Eko Lestari,15,225000
300,Dewi Prasetyo,30,450000
301,Rini Lestari,30,450000
302,Ahmad Kusuma,30,450000
303,Ahmad Mulyani,10,150000
304,Budi Utami,25,375000
305,Hadi Santoso,20,300000
306,Hadi Santoso,15,225000
307,Siti Dani,20,300000
308,Andi Wijaya,25,375000
309,Budi Dani,20,300000
310,Mega Rahma,30,450000
311,Sri Wijaya,10,150000
312,Eko Lestari,20,300000
313,Mega Rahma,30,450000
314,Dewi Dani,20,300000
315,Siti Utami,20,300000
316,Ahmad Mulyani,10,150000
317,Hadi Utami,25,375000
318,Mega Santoso,20,300000
319,Eko Santoso,15,225000
320,Andi Setiawan,20,300000
321,Dewi Rahma,25,375000
322,Dewi Santoso,30,450000
323,Ahmad Rahma,25,375000
324,Sri Santoso,15,225000
325,Siti Dani,15,225000
326,Budi Prasetyo,30,450000
327,Sri Lestari,20,300000
328,Budi Lestari,10,150000
329,Budi Prasetyo,15,225000
330,Hadi Mulyani,25,375000
331,Hadi Mulyani,15,225000
332,Budi Utami,25,375000
333,Andi Mulyani,30,450000
334,Hadi Rahma,30,450000
335,Siti Mulyani,20,300000
336,Rini Utami,25,375000
337,Ahmad Wijaya,10,150000
338,Hadi Prasetyo,20,300000
339,Dewi Santoso,30,450000
340,Andi Mulyani,15,225000
341,Siti Santoso,30,450000
342,Siti Kusuma,10,150000
343,Siti Setiawan,10,150000
344,Sri Wijaya,10,150000
345,Eko Mulyani,20,300000
346,Budi Santoso,10,150000
347,Budi Lestari,25,375000
348,Eko Lestari,20,300000
349,Ahmad Wijaya,25,375000
350,Eko Kusuma,15,225000
351,Ahmad Kusuma,15,225000
352,Eko Lestari,15,225000
353,Budi Prasetyo,20,300000
354,Siti Setiawan,15,225000
355,Siti Santoso,25,375000
356,Andi Setiawan,15,225000
357,Eko Utami,30,450000
358,Andi Setiawan,25,375000
359,Mega Utami,10,150000
360,Andi Lestari,25,375000
361,Hadi Utami,10,150000
362,Sri Mulyani,20,300000
363,Andi Santoso,20,300000
364,Rini Kusuma,20,300000
365,Rini Mulyani,25,375000
366,Eko Prasetyo,20,300000
367,Dewi Mulyani,20,300000
368,Siti Kusuma,25,375000
369,Andi Prasetyo,15,225000
370,Mega Kusuma,15,225000
371,Siti Santoso,25,375000
372,Sri Setiawan,30,450000
373,Rini Utami,25,375000
374,Rini Dani,20,300000
375,Mega Wijaya,30,450000
376,Andi Wijaya,15,225000
377,Mega Mulyani,20,300000
378,Eko Kusuma,30,450000
379,Hadi Utami,25,375000
380,Hadi Kusuma,30,450000
381,Sri Dani,30,450000
382,Andi Santoso,20,300000
383,Sri Rahma,20,300000
384,Sri Kusuma,10,150000
385,Andi Santoso,25,375000
386,Mega Prasetyo,20,300000
387,Mega Kusuma,30,450000
388,Eko Rahma,25,375000
389,Andi Prasetyo,10,150000
390,Andi Kusuma,30,450000
391,Rini Santoso,20,300000
392,Hadi Wijaya,10,150000
393,Rini Mulyani,10,150000
394,Budi Prasetyo,15,225000
395,Ahmad Setiawan,25,375000
396,Ahmad Utami,10,150000
397,Sri Setiawan,30,450000
398,Siti Dani,15,225000
399,Siti Setiawan,30,450000
400,Andi Kusuma,15,225000
401,Eko Santoso,15,225000
402,Andi Lestari,15,225000
403,Rini Prasetyo,15,225000
404,Budi Prasetyo,25,375000
405,Rini Mulyani,30,450000
406,Siti Setiawan,25,375000
407,Andi Santoso,25,375000
408,Eko Rahma,25,375000
409,Andi Dani,25,375000
410,Hadi Rahma,30,450000
411,Ahmad Setiawan,10,150000
412,Budi Rahma,20,300000
413,Mega Santoso,10,150000
414,Hadi Santoso,20,300000
415,Dewi Kusuma,10,150000
416,Budi Utami,30,450000
417,Hadi Setiawan,15,225000
418,Siti Kusuma,30,450000
419,Eko Kusuma,15,225000
420,Budi Setiawan,20,300000
421,Siti Mulyani,20,300000
422,Rini Rahma,10,150000
423,Rini Rahma,15,225000
424,Eko Prasetyo,30,450000
425,Mega Kusuma,15,225000
426,Ahmad Utami,10,150000
427,Dewi Mulyani,20,300000
428,Sri Rahma,25,375000
429,Rini Santoso,25,375000
430,Sri Dani,20,300000
431,Hadi Rahma,10,150000
432,Rini Utami,15,225000
433,Siti Wijaya,10,150000
434,Andi Wijaya,10,150000
435,Siti Wijaya,15,225000
436,Dewi Lestari,25,375000
437,Andi Rahma,25,375000
438,Hadi Santoso,30,450000
439,Dewi Setiawan,20,300000
440,Sri Mulyani,15,225000
441,Dewi Kusuma,30,450000
442,Eko Rahma,10,150000
443,Mega Kusuma,10,150000
444,Ahmad Setiawan,10,150000
445,Rini Lestari,30,450000
446,Andi Dani,10,150000
447,Hadi Prasetyo,25,375000
448,Sri Rahma,20,300000
449,Siti Utami,25,375000
450,Rini Kusuma,10,150000
451,Siti Kusuma,10,150000
452,Sri Dani,20,300000
453,Siti Wijaya,25,375000
454,Dewi Santoso,25,375000
455,Eko Santoso,30,450000
456,Hadi Rahma,10,150000
457,Dewi Santoso,30,450000
458,Hadi Rahma,20,300000
459,Andi Kusuma,30,450000
460,Rini Santoso,15,225000
461,Hadi Setiawan,25,375000
462,Dewi Mulyani,20,300000
463,Mega Mulyani,15,225000
464,Sri Mulyani,25,375000
465,Sri Wijaya,25,375000
466,Eko Mulyani,25,375000
467,Siti Prasetyo,25,375000
468,Hadi Rahma,20,300000
469,Rini Dani,20,300000
470,Hadi Dani,10,150000
471,Sri Lestari,30,450000
472,Siti Prasetyo,30,450000
473,Mega Santoso,25,375000
474,Dewi Dani,30,450000
475,Mega Mulyani,10,150000
476,Dewi Rahma,30,450000
477,Hadi Rahma,15,225000
478,Eko Santoso,20,300000
479,Andi Utami,20,300000
480,Andi Setiawan,10,150000
481,Rini Utami,15,225000
482,Andi Rahma,30,450000
483,Hadi Rahma,10,150000
484,Hadi Mulyani,30,450000
485,Siti Prasetyo,10,150000
486,Eko Santoso,10,150000
487,Andi Utami,10,150000
488,Hadi Dani,30,450000
489,Andi Prasetyo,15,225000
490,Sri Prasetyo,10,150000
491,Rini Dani,25,375000
492,Ahmad Kusuma,30,450000
493,Mega Prasetyo,10,150000
494,Hadi Mulyani,15,225000
495,Siti Rahma,10,150000
496,Budi Setiawan,30,450000
497,Eko Rahma,15,225000
498,Dewi Dani,15,225000
499,Rini Mulyani,25,375000
500,Eko Dani,20,300000
501,Rini Setiawan,30,450000
502,Rini Mulyani,20,300000
503,Siti Lestari,10,150000
504,Siti Lestari,15,225000
505,Budi Prasetyo,20,300000
506,Siti Utami,25,375000
507,Hadi Wijaya,30,450000
508,Rini Prasetyo,15,225000
509,Eko Santoso,30,450000
510,Mega Wijaya,20,300000
511,Hadi Lestari,15,225000
512,Mega Utami,20,300000
513,Eko Dani,30,450000
514,Siti Santoso,20,300000
515,Hadi Kusuma,20,300000
516,Hadi Rahma,20,300000
517,Budi Wijaya,20,300000
518,Dewi Prasetyo,20,300000
519,Andi Rahma,20,300000
520,Ahmad Prasetyo,25,375000
521,Rini Kusuma,15,225000
522,Ahmad Mulyani,30,450000
523,Dewi Santoso,15,225000
524,Andi Lestari,10,150000
525,Sri Mulyani,25,375000
526,Mega Wijaya,30,450000
527,Siti Prasetyo,20,300000
528,Ahmad Kusuma,20,300000
529,Budi Prasetyo,10,150000
530,Rini Santoso,30,450000
531,Budi Rahma,25,375000
532,Ahmad Rahma,20,300000
533,Sri Mulyani,20,300000
534,Mega Prasetyo,10,150000
535,Siti Santoso,20,300000
536,Mega Wijaya,30,450000
537,Siti Rahma,10,150000
538,Hadi Utami,20,300000
539,Budi Lestari,10,150000
540,Eko Utami,10,150000
541,Rini Kusuma,30,450000
542,Mega Kusuma,15,225000
543,Siti Mulyani,30,450000
544,Eko Mulyani,25,375000
545,Eko Lestari,20,300000
546,Dewi Prasetyo,25,375000
547,Siti Lestari,20,300000
548,Siti Wijaya,15,225000
549,Siti Prasetyo,25,375000
550,Mega Utami,30,450000
551,Sri Lestari,10,150000
552,Budi Utami,30,450000
553,Eko Lestari,30,450000
554,Andi Kusuma,15,225000
555,Ahmad Utami,20,300000
556,Budi Dani,20,300000
557,Rini Mulyani,25,375000
558,Rini Mulyani,20,300000
559,Mega Prasetyo,25,375000
560,Mega Rahma,10,150000
561,Sri Rahma,30,450000
562,Hadi Lestari,15,225000
563,Hadi Utami,15,225000
564,Mega Kusuma,25,375000
565,Budi Prasetyo,10,150000
566,Andi Mulyani,20,300000
567,Ahmad Wijaya,25,375000
568,Andi Wijaya,10,150000
569,Siti Mulyani,25,375000
570,Budi Kusuma,20,300000
571,Ahmad Santoso,30,450000
572,Andi Mulyani,20,300000
573,Sri Mulyani,15,225000
574,Hadi Dani,25,375000
575,Mega Wijaya,10,150000
576,Mega Lestari,25,375000
577,Eko Utami,25,375000
578,Rini Kusuma,30,450000
579,Ahmad Lestari,30,450000
580,Ahmad Dani,25,375000
581,Rini Setiawan,30,450000
582,Andi Dani,30,450000
583,Hadi Mulyani,25,375000
584,Rini Kusuma,25,375000
585,Eko Utami,10,150000
586,Sri Mulyani,25,375000
587,Sri Wijaya,25,375000
588,Dewi Wijaya,20,300000
589,Mega Dani,15,225000
590,Rini Prasetyo,20,300000
591,Mega Kusuma,30,450000
592,Eko Lestari,25,375000
593,Hadi Kusuma,10,150000
594,Siti Santoso,15,225000
595,Siti Prasetyo,25,375000
596,Ahmad Wijaya,15,225000
597,Dewi Lestari,15,225000
598,Budi Kusuma,25,375000
599,Andi Kusuma,10,150000
600,Dewi Prasetyo,15,225000
601,Sri Setiawan,10,150000
602,Ahmad Prasetyo,10,150000
603,Andi Utami,25,375000
604,Budi Kusuma,20,300000
605,Andi Setiawan,15,225000
606,Eko Wijaya,25,375000
607,Siti Setiawan,15,225000
608,Hadi Dani,20,300000
609,Mega Mulyani,15,225000
610,Hadi Prasetyo,15,225000
611,Rini Wijaya,20,300000
612,Ahmad Kusuma,15,225000
613,Ahmad Lestari,10,150000
614,Eko Rahma,10,150000
615,Eko Setiawan,20,300000
616,Sri Rahma,30,450000
617,Budi Lestari,15,225000
618,Eko Mulyani,10,150000
619,Mega Setiawan,10,150000
620,Eko Prasetyo,15,225000
621,Dewi Rahma,30,450000
622,Ahmad Mulyani,20,300000
623,Siti Rahma,25,375000
624,Sri Dani,20,300000
625,Siti Rahma,20,300000
626,Siti Santoso,10,150000
627,Ahmad Wijaya,30,450000
628,Rini Lestari,20,300000
629,Eko Rahma,20,300000
630,Rini Lestari,30,450000
631,Hadi Wijaya,15,225000
632,Rini Santoso,10,150000
633,Mega Kusuma,20,300000
634,Andi Utami,30,450000
635,Eko Dani,25,375000
636,Ahmad Wijaya,20,300000
637,Andi Santoso,20,300000
638,Rini Wijaya,20,300000
639,Ahmad Santoso,25,375000
640,Mega Kusuma,15,225000
641,Sri Mulyani,10,150000
642,Dewi Utami,25,375000
643,Sri Wijaya,30,450000
644,Andi Mulyani,25,375000
645,Sri Mulyani,30,450000
646,Eko Rahma,25,375000
647,Sri Lestari,15,225000
648,Andi Prasetyo,20,300000
649,Rini Prasetyo,10,150000
650,Mega Mulyani,30,450000
651,Mega Lestari,10,150000
652,Siti Santoso,25,375000
653,Rini Wijaya,20,300000
654,Rini Dani,15,225000
655,Andi Kusuma,30,450000
656,Hadi Kusuma,20,300000
657,Siti Setiawan,10,150000
658,Ahmad Santoso,30,450000
659,Ahmad Utami,15,225000
660,Sri Prasetyo,30,450000
661,Siti Lestari,25,375000
662,Andi Kusuma,10,150000
663,Hadi Dani,10,150000
664,Andi Kusuma,25,375000
665,Siti Setiawan,25,375000
666,Siti Utami,10,150000
667,Sri Lestari,25,375000
668,Rini Dani,30,450000
669,Mega Mulyani,10,150000
670,Andi Wijaya,20,300000
671,Rini Wijaya,20,300000
672,Rini Lestari,10,150000
673,Eko Dani,25,375000
674,Andi Lestari,15,225000
675,Andi Prasetyo,30,450000
676,Mega Dani,20,300000
677,Siti Setiawan,30,450000
678,Andi Rahma,20,300000
679,Ahmad Wijaya,15,225000
680,Mega Wijaya,10,150000
681,Rini Setiawan,15,225000
682,Eko Santoso,30,450000
683,Eko Santoso,10,150000
684,Ahmad Rahma,25,375000
685,Rini Rahma,30,450000
686,Siti Utami,25,375000
687,Eko Wijaya,30,450000
688,Hadi Dani,10,150000
689,Dewi Utami,25,375000
690,Siti Lestari,25,375000
691,Mega Prasetyo,25,375000
692,Andi Wijaya,25,375000
693,Sri Santoso,10,150000
694,Mega Lestari,10,150000
695,Ahmad Wijaya,10,150000
696,Budi Lestari,15,225000
697,Ahmad Utami,25,375000
698,Hadi Utami,25,375000
699,Hadi Prasetyo,25,375000
700,Sri Lestari,25,375000
701,Andi Prasetyo,20,300000
702,Budi Santoso,10,150000
703,Rini Mulyani,30,450000
704,Budi Dani,30,450000
705,Hadi Rahma,25,375000
706,Eko Setiawan,15,225000
707,Siti Utami,10,150000
708,Siti Kusuma,20,300000
709,Budi Dani,10,150000
710,Mega Setiawan,25,375000
711,Ahmad Utami,25,375000
712,Rini Lestari,30,450000
713,Eko Kusuma,10,150000
714,Dewi Santoso,10,150000
715,Eko Lestari,20,300000
716,Siti Utami,30,450000
717,Rini Rahma,30,450000
718,Hadi Setiawan,30,450000
719,Sri Rahma,10,150000
720,Ahmad Lestari,30,450000
721,Andi Santoso,15,225000
722,Ahmad Prasetyo,15,225000
723,Siti Mulyani,25,375000
724,Budi Kusuma,20,300000
725,Dewi Utami,15,225000
726,Dewi Kusuma,15,225000
727,Mega Dani,25,375000
728,Mega Wijaya,25,375000
729,Rini Santoso,25,375000
730,Mega Lestari,20,300000
731,Hadi Setiawan,30,450000
732,Siti Mulyani,20,300000
733,Hadi Setiawan,25,375000
734,Eko Wijaya,15,225000
735,Hadi Mulyani,15,225000
736,Mega Prasetyo,10,150000
737,Mega Setiawan,25,375000
738,Budi Lestari,15,225000
739,Eko Utami,25,375000
740,Mega Rahma,25,375000
741,Rini Utami,10,150000
742,Hadi Utami,15,225000
743,Andi Setiawan,15,225000
744,Hadi Lestari,30,450000
745,Sri Rahma,15,225000
746,Dewi Utami,30,450000
747,Eko Dani,10,150000
748,Budi Mulyani,15,225000
749,Eko Lestari,10,150000
750,Sri Wijaya,30,450000
751,Ahmad Dani,30,450000
752,Hadi Lestari,30,450000
753,Andi Lestari,30,450000
754,Mega Utami,30,450000
755,Siti Utami,30,450000
756,Ahmad Dani,10,150000
757,Sri Utami,25,375000
758,Andi Utami,25,375000
759,Dewi Lestari,10,150000
760,Sri Lestari,15,225000
761,Hadi Rahma,25,375000
762,Ahmad Lestari,20,300000
763,Budi Rahma,15,225000
764,Ahmad Rahma,25,375000
765,Mega Kusuma,15,225000
766,Rini Mulyani,25,375000
767,Andi Kusuma,30,450000
768,Rini Kusuma,25,375000
769,Hadi Wijaya,30,450000
770,Andi Prasetyo,25,375000
771,Ahmad Setiawan,25,375000
772,Rini Setiawan,10,150000
773,Rini Rahma,15,225000
774,Sri Utami,15,225000
775,Sri Utami,25,375000
776,Ahmad Dani,20,300000
777,Rini Lestari,30,450000
778,Eko Rahma,10,150000
779,Ahmad Dani,20,300000
780,Budi Kusuma,15,225000
781,Siti Mulyani,20,300000
782,Hadi Kusuma,15,225000
783,Rini Prasetyo,25,375000
784,Andi Lestari,10,150000
785,Dewi Prasetyo,25,375000
786,Hadi Mulyani,15,225000
787,Siti Wijaya,20,300000
788,Ahmad Mulyani,20,300000
789,Hadi Wijaya,25,375000
790,Rini Setiawan,15,225000
791,Sri Santoso,30,450000
792,Sri Setiawan,25,375000
793,Eko Wijaya,15,225000
794,Siti Lestari,25,375000
795,Hadi Rahma,30,450000
796,Andi Wijaya,15,225000
797,Sri Utami,20,300000
798,Andi Prasetyo,25,375000
799,Dewi Lestari,25,375000
800,Rini Kusuma,25,375000
801,Mega Santoso,10,150000
802,Eko Prasetyo,15,225000
803,Rini Prasetyo,15,225000
804,Ahmad Wijaya,25,375000
805,Mega Dani,30,450000
806,Rini Utami,25,375000
807,Sri Kusuma,20,300000
808,Eko Kusuma,20,300000
809,Ahmad Kusuma,20,300000
810,Dewi Setiawan,15,225000
811,Budi Prasetyo,10,150000
812,Hadi Dani,10,150000
813,Rini Setiawan,20,300000
814,Dewi Utami,20,300000
815,Siti Prasetyo,30,450000
816,Eko Prasetyo,20,300000
817,Eko Prasetyo,25,375000
818,Budi Lestari,30,450000
819,Sri Mulyani,30,450000
820,Siti Mulyani,10,150000
821,Budi Prasetyo,10,150000
822,Siti Prasetyo,15,225000
823,Budi Mulyani,25,375000
